,MagX,MagY,MagZ
0,-330.04545454545456,16.204545454545453,-135.47727272727272
1,-268.6607142857143,14.892857142857142,-183.26785714285714
2,-264.7358490566038,243.28301886792454,-139.28301886792454
3,-312.8666666666667,55.044444444444444,-242.42222222222222
4,-742.0454545454545,-186.13636363636363,141.63636363636363
5,-264.1384615384615,-66.75384615384615,-143.01538461538462
6,-219.0,154.23076923076923,-134.8846153846154
7,-362.63157894736844,-30.31578947368421,-101.10526315789474
8,-502.98387096774195,-92.90322580645162,278.53225806451616
9,-256.7708333333333,69.6875,-133.83333333333334
10,-246.0344827586207,-67.34482758620689,-160.3793103448276
11,-181.38888888888889,84.63888888888889,-234.58333333333334
12,-298.4193548387097,-18.387096774193548,-133.30645161290323
13,-85.93023255813954,235.37209302325581,-45.651162790697676
