,_id,_index,create_at_time,recv_at_time,data,temperature,company,road,slot_num,gwip
0,AV1zjj-Q-R03vmj0KhED,parking_record_index_v2,2017-07-24T07:44:48.526Z,2017-07-24T07:43:42.000Z,fc000105600bb00023,35,yilan,宜蘭市中山路二段,try,192.168.0.225
1,AV1zjj-L-R03vmj0KhEC,parking_record_index_v2,2017-07-24T07:44:48.522Z,2017-07-24T07:44:48.000Z,fc000105600bb00023,35,yilan,宜蘭市中山路二段,try,10.5.180.16
2,AV1zjj-B-R03vmj0KhEB,parking_record_index_v2,2017-07-24T07:44:48.512Z,2017-07-24T07:44:48.000Z,fc000105600bb00023,35,yilan,宜蘭市中山路二段,try,192.168.0.3
3,AV1zjj9q-R03vmj0KhEA,parking_record_index_v2,2017-07-24T07:44:48.488Z,2017-07-24T07:44:48.000Z,fc000105600bb00023,35,yilan,宜蘭市中山路二段,try,10.5.161.125
4,AV1zjjg1-R03vmj0KhD-,parking_record_index_v2,2017-07-24T07:44:46.644Z,2017-07-24T07:43:39.000Z,fc000105600bb00023,35,yilan,宜蘭市中山路二段,try,192.168.0.225
5,AV1zjjLt-R03vmj0KhD9,parking_record_index_v2,2017-07-24T07:44:45.292Z,2017-07-24T07:44:44.000Z,fc000105600bb00023,35,yilan,宜蘭市中山路二段,try,192.168.0.3
6,AV1zjjLA-R03vmj0KhD8,parking_record_index_v2,2017-07-24T07:44:45.245Z,2017-07-24T07:44:44.000Z,fc000105600bb00023,35,yilan,宜蘭市中山路二段,try,10.5.180.16
7,AV1ziJle-R03vmj0KhAf,parking_record_index_v2,2017-07-24T07:38:38.301Z,2017-07-24T07:37:32.000Z,fc000105600bc20022,34,yilan,宜蘭市中山路二段,正文033,192.168.0.225
8,AV1ziJlI-R03vmj0KhAe,parking_record_index_v2,2017-07-24T07:38:38.279Z,2017-07-24T07:38:37.000Z,fc000105600bc20022,34,yilan,宜蘭市中山路二段,正文033,10.5.161.125
9,AV1ziJk9-R03vmj0KhAd,parking_record_index_v2,2017-07-24T07:38:38.266Z,2017-07-24T07:38:37.000Z,fc000105600bc20022,34,yilan,宜蘭市中山路二段,正文033,10.5.180.16
